code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603982 ,泉峰汽车,-2.759,20.44,20.65,20.9,20.28,21.02,6435844.0,12.871690000000001,132184219.0,33.459,2.904,408800.0,102200.0,汽车配件,江苏,55.13,0.5,2.0,19.06,8.3,8.64,5.76,2.88,0.095,6.99,3.01,20190522.0,1.99,0.99,0.0,0.0,24.9,6.91,50054.0
603980 ,吉华集团,-1.381,8.57,8.63,8.67,8.52,8.69,6773996.0,1.96984,58092522.0,6.095,1.347,599900.0,294710.578811,染料涂料,浙江,9.08,3.44,7.0,51.42,35.84,11.72,11.44,1.63,0.67,6.36,1.37,20170615.0,23.87,3.41,7.93,3.49,34.07,22.6,33991.0
603979 ,金诚信,2.381,8.6,8.42,8.68,8.41,8.4,2883733.0,0.49429000000000006,24661103.0,17.2,1.227,501731.25152,501731.25152,建筑工程,北京,15.59,5.83,5.83,64.38,47.25,12.2,15.94,2.73,0.14,7.01,1.2,20150630.0,17.48,3.0,8.46,4.69,27.9,11.42,28506.0
603978 ,深圳新星,3.472,37.55,36.29,37.8,35.51,36.29,5193994.0,6.8232800000000005,190916472.0,48.141,4.209,600800.0,285836.9084,铝,深圳,90.11,0.76,1.6,18.9,8.61,5.92,5.81,3.63,0.10099999999999999,8.92,4.07,20170807.0,6.36,3.97,11.31,-52.04,18.17,6.88,10586.0
603977 ,国泰集团,0.696,8.68,8.62,8.72,8.54,8.62,1844620.0,1.04837,15884607.0,39.455,1.839,339591.09464,152726.336,化工原料,江西,98.1,1.76,3.91,25.87,8.28,9.59,10.34,2.64,0.022000000000000002,4.72,1.83,20161111.0,3.68,0.94,103.5,-21.49,32.92,3.56,15760.0
603976 ,正川股份,9.954,16.57,15.0,16.57,15.0,15.07,4311833.0,11.25807,68458618.0,30.127,2.478,250538.4,63462.997266,医疗保健,重庆,24.4,0.38,1.51,11.74,7.77,2.94,5.56,3.67,0.154,6.69,2.25,20170822.0,2.66,1.76,6.81,12.02,28.16,13.99,13985.0
603970 ,中农立华,0.863,12.85,12.74,12.92,12.65,12.74,902132.0,0.9444400000000001,11562523.0,17.808,2.301,246720.12336,122743.32336,其他商业,北京,21.75,0.96,1.92,29.62,27.7,0.34,3.33,1.74,0.146,4.65,2.74,20171116.0,3.27,1.71,10.81,20.3,9.57,2.38,13439.0
603969 ,银龙股份,0.247,4.06,4.06,4.09,4.04,4.05,2509259.0,0.29837,10210333.0,22.556,1.9540000000000002,341446.0,341446.0,其他建材,天津,45.92,8.41,8.41,26.42,19.88,3.49,2.31,0.27,0.022000000000000002,2.08,1.95,20150227.0,5.69,0.68,15.84,329.19,15.48,3.79,42592.0
603968 ,醋化股份,-0.591,16.83,16.93,16.97,16.78,16.93,371092.0,0.18148,6245184.0,17.173,2.285,344139.84,344139.84,化工原料,江苏,16.64,2.04,2.04,21.49,14.17,5.15,3.97,1.94,0.254,7.37,2.3,20150518.0,7.48,3.66,5.01,8.32,19.67,9.64,15265.0
603967 ,中创物流,0.288,17.44,17.38,17.5,17.17,17.39,3277285.0,4.91593,56719843.0,18.358,3.808,465066.7248,116266.7248,仓储物流,山东,34.94,0.67,2.67,15.17,7.85,2.34,0.43,0.16,0.124,6.88,2.53,20190429.0,5.74,2.15,0.0,0.0,7.31,3.21,64669.0
603966 ,法兰泰克,0.505,9.96,9.93,10.0,9.87,9.91,911910.0,0.97133,9070150.0,31.125,2.344,210135.6816,93507.452064,机械基件,江苏,147.52,0.94,2.11,19.33,12.51,2.26,3.38,1.6,0.017,4.25,2.33,20170125.0,3.08,1.46,60.65,77.11,23.93,1.87,14982.0
603963 ,大理药业,-0.603,13.18,13.12,13.2,12.93,13.26,4545428.0,4.57805,59298220.0,164.75,4.776,222742.0,130860.925,化学制药,云南,91.59,0.99,1.69,5.6,4.04,0.87,1.68,1.0,0.07200000000000001,2.76,4.81,20170922.0,0.98,0.58,-20.74,1281.04,77.53,7.6,15814.0
603960 ,克来机电,-1.731,28.96,29.38,29.47,28.76,29.47,1586441.0,2.35548,46087619.0,60.333,9.759,509000.96,195048.368576,专用机械,上海,56.36,0.67,1.76,9.21,5.27,1.59,1.15,0.65,0.261,2.97,9.93,20170314.0,2.11,1.2,45.33,62.58,28.68,13.19,6002.0
603959 ,百利科技,0.272,11.07,10.87,11.36,10.87,11.04,2930112.0,0.66739,32769934.0,23.063,3.041,486017.28,486017.28,建筑工程,湖南,33.03,4.39,4.39,29.24,20.63,0.45,1.8,0.41,0.084,2.6,4.25,20160517.0,5.92,1.35,25.68,30.86,33.84,16.31,12892.0
603958 ,哈森股份,0.678,7.43,7.45,7.56,7.38,7.38,480549.0,0.22108000000000003,3575847.0,-25.889,1.581,161498.48,161498.48,服饰,江苏,20.0,2.17,2.17,12.42,10.25,1.1,4.78,2.2,0.092,4.75,1.55,20160629.0,2.92,1.34,-11.88,-44.63,52.92,5.73,18354.0
603956 ,威派格,-1.569,17.57,17.85,17.98,17.49,17.85,4742076.0,11.13265,83914569.0,58.567,7.345,748411.8957,74841.3477,专用机械,上海,0.0,0.43,4.26,12.14,8.64,2.94,3.0,0.7,-0.057,2.39,7.46,20190222.0,2.59,0.61,0.0,0.0,62.49,-32.93,19200.0
603955 ,大千生态,0.538,14.95,14.84,15.03,14.82,14.87,272578.0,0.38219000000000003,4074144.0,18.763,1.496,169084.5,106623.718435,环境保护,江苏,85.86,0.71,1.13,27.6,15.52,0.17,5.57,4.93,0.043,9.99,1.49,20170310.0,4.08,3.61,9.93,135.14,21.5,4.91,9765.0
603939 ,益丰药房,3.472,76.88,74.89,79.55,74.8,74.3,3588929.0,0.9895200000000001,276426986.0,67.203,6.752,2913156.226128,2788396.530704,医药商业,湖南,47.83,3.63,3.79,80.46,42.57,3.97,25.77,6.8,0.39,11.16,6.66,20150217.0,11.87,3.13,66.67,45.77,39.47,5.96,5945.0
603938 ,三孚股份,-0.228,17.54,17.65,17.71,17.47,17.58,537110.0,1.05758,9428978.0,23.387,2.42,263392.2164,89079.6964,化工原料,河北,23.6,0.51,1.5,11.81,7.77,2.76,3.88,2.59,0.18600000000000003,7.25,2.43,20170628.0,4.72,3.14,5.63,-35.42,27.32,9.41,13300.0
603937 ,丽岛新材,0.907,11.13,11.03,11.3,10.99,11.03,2027500.0,2.67275,22600788.0,20.236,1.732,232483.44,84430.252284,铝,江苏,24.94,0.75,2.09,14.7,12.28,1.06,5.52,2.64,0.111,6.43,1.72,20171102.0,5.29,2.53,4.47,-0.41,13.73,8.04,23385.0
603936 ,博敏电子,-1.239,16.74,17.03,17.27,16.64,16.95,10965332.0,4.30048,185205467.0,24.618,2.239,527374.085742,426834.953136,元器件,广东,25.77,2.55,3.15,39.69,15.53,11.47,13.66,4.34,0.32899999999999996,7.48,2.27,20151209.0,6.18,1.96,22.26,122.91,21.09,9.36,21843.0
603933 ,睿能科技,-0.215,13.9,14.02,14.18,13.86,13.93,2078364.0,4.13085,29107805.0,17.599,1.889,279714.148,69935.348,纺织机械,福建,53.8,0.5,2.01,15.15,13.67,0.7,4.57,2.27,0.065,5.26,2.65,20170706.0,4.22,2.1,-23.15,-66.59,17.64,3.72,11609.0
603929 ,亚翔集成,0.47,14.96,14.91,15.15,14.81,14.89,1479226.0,1.53192,22181783.0,19.684,2.89,319186.56,144453.76,装修装饰,江苏,27.32,0.97,2.13,18.59,17.94,0.2,2.59,1.21,0.273,5.18,2.88,20161230.0,5.64,2.64,-28.33,-43.17,11.81,5.78,17038.0
603928 ,兴业股份,0.0,12.31,12.35,12.4,12.28,12.31,370300.0,0.58992,4566125.0,17.097,1.9460000000000002,248169.6,77271.7165,化工原料,江苏,17.82,0.63,2.02,16.02,9.55,2.29,5.48,2.72,0.17300000000000001,6.32,1.95,20161212.0,4.51,2.24,-16.05,-0.49,25.9,11.1,17670.0
603926 ,铁流股份,1.292,12.54,12.38,12.57,12.2,12.38,592330.0,0.6891200000000001,7313990.0,18.174,1.3599999999999999,201199.284,107786.415066,汽车配件,浙江,21.99,0.86,1.6,15.95,9.62,4.65,6.25,3.9,0.141,7.09,1.74,20170510.0,3.65,2.28,59.16,-0.12,22.21,7.59,12217.0
603922 ,金鸿顺,-1.136,15.66,15.96,15.96,15.62,15.84,509000.0,1.59063,8007088.0,35.591,1.772,200448.0,50112.0,汽车配件,江苏,0.0,0.32,1.28,15.09,10.17,2.43,7.15,5.59,-0.053,8.84,1.79,20171023.0,2.5,1.95,-31.29,-126.64,10.61,-3.85,19861.0
603920 ,世运电路,2.044,16.97,16.6,17.15,16.25,16.63,26981969.0,21.04513,450832710.0,30.304,2.857,694585.494,217572.400546,元器件,广东,48.46,1.28,4.09,32.52,21.86,9.79,13.69,3.34,0.086,5.94,2.8,20170426.0,5.96,1.46,7.79,41.56,25.02,6.96,30200.0
603919 ,金徽酒,1.345,15.07,14.87,15.13,14.83,14.87,1535745.0,0.42191,23069311.0,21.225,2.602,588031.396986,548548.0,白酒,甘肃,13.29,3.64,3.9,27.71,10.56,11.37,6.54,1.68,0.3,5.79,2.57,20160310.0,9.74,2.5,5.48,-9.92,58.04,21.24,25304.0
603918 ,金桥信息,1.476,11.0,10.86,11.14,10.8,10.84,4305248.0,1.8628,47210874.0,37.931,4.414,256657.83,254228.546,软件服务,上海,68.72,2.31,2.33,10.89,8.6,0.59,1.21,0.52,0.079,2.49,4.35,20150528.0,2.21,0.95,23.87,45.1,34.13,5.48,17831.0
603917 ,合力科技,0.388,10.36,10.34,10.41,10.31,10.32,967840.0,1.20591,10024251.0,16.616,1.752,162444.8,83147.196832,汽车配件,浙江,26.62,0.8,1.57,12.82,7.46,2.57,2.9,1.85,0.09699999999999999,5.91,1.75,20171204.0,4.17,2.66,14.79,20.22,32.99,12.44,12356.0
603916 ,苏博特,-0.082,12.17,12.18,12.25,12.09,12.18,495906.0,0.38457,6043335.0,13.83,1.772,378012.37,156932.15,化工原料,江苏,19.4,1.29,3.11,36.17,23.45,9.15,10.64,3.43,0.157,6.87,1.77,20171110.0,7.38,2.38,31.12,63.7,43.09,10.43,23574.0
603915 ,国茂股份,1.847,15.99,15.73,16.07,15.65,15.7,3970915.0,4.70599,63056514.0,27.569,5.192,740860.5126,134923.62,机械基件,江苏,36.77,0.84,4.63,20.41,0.0,0.0,0.0,0.0,0.107,4.35,3.61,20190614.0,0.0,0.0,0.0,0.0,0.0,11.02,81101.0
603912 ,佳力图,-1.124,14.08,14.22,14.24,14.05,14.24,1670120.0,1.53098,23603027.0,27.608,4.184,305540.224,153595.904,专用机械,江苏,27.87,1.09,2.17,11.42,9.84,0.8,3.58,1.65,0.128,3.39,4.21,20171101.0,2.1,0.97,62.09,16.51,36.26,17.37,17233.0
603909 ,合诚股份,1.334,17.47,17.27,17.51,17.07,17.24,1223871.0,1.22387,21157735.0,25.851,2.517,179067.5,174700.0,建筑工程,福建,69.38,1.0,1.03,12.76,8.99,1.37,2.67,2.61,0.062,6.94,2.48,20160628.0,3.53,3.44,89.77,130.97,28.71,4.37,10146.0
603908 ,牧高笛,-1.933,25.36,25.73,25.73,25.3,25.86,766100.0,3.32374,19521880.0,40.903,3.63,169125.84,58453.03748,纺织,浙江,34.02,0.23,0.67,7.09,6.51,0.36,2.29,3.44,0.19,6.99,3.7,20170307.0,1.39,2.08,-8.19,-36.03,28.87,9.0,9425.0
603906 ,龙蟠科技,-0.39,10.21,10.37,10.39,10.2,10.25,3178204.0,2.83792,32726927.0,30.939,2.012,311073.3792,114342.329088,化工原料,江苏,21.65,1.12,3.05,21.0,13.04,4.01,6.41,2.1,0.11800000000000001,4.23,2.42,20170410.0,3.97,1.3,26.42,26.26,32.7,8.25,16476.0
603903 ,中持股份,-1.032,13.42,13.5,13.57,13.4,13.56,1058840.0,1.02008,14261373.0,14.911,1.6800000000000002,194072.5248,139299.634892,环境保护,北京,53.06,1.04,1.45,24.11,9.57,0.15,4.4,3.04,0.064,5.71,2.38,20170314.0,2.71,1.88,67.95,7.53,35.32,6.09,13856.0
